Sake,SMV,Body,Fruitiness,Floralness,Earthiness,Savoriness,Richness,Acidity,Aged,Juiciness,Nigori,Price_by_gls,Price_by_btl,Prefecture,Style,Image,Notes,Tasting_notes,x,y
Taka_Noble_Arrow,2,2,4,3,1,1,1,3,0,3,0,20,102.0,Yamaguchi,Tokubetsu_Junmai,/images/taka_noble_arrow.jpg,Brewed by Nagayama Takahiro who also studied wine making. He owns a winery and a brewery.,"Melon, lime, mint",-1.359045298966039,2.622629948737642
Heiwa_shuzo_Kid,2,3,4,3,1,1,1,2,0,3,0,20,102.0,Wakayama,Junmai_Daiginjo,/images/heiwa_shuzo_kid.jpg,,,-1.7016932232825583,1.8854644624825199
Suigei_Tokubetsu_Junmai,4,2,1,1,4,3,3,2,0,1,0,19,,Kouchi,Tokubetsu_Junmai,/images/suigei_tokubetsu_junmai.jpg,,,0.1215602245859431,-3.8139212576681136
Tamagawa_Red_Label,4,4,3,3,3,4,4,4,0,3,0,19,,Kyoto,Junmai,/images/tamagawa_red_label.jpg,,,2.4418580570567423,0.25632601845965813
Daimon_Road_to_Osaka,3,3,3,3,2,2,2,2,0,2,1,20,102.0,Osaka,Junmai,/images/daimon_road_to_osaka.jpg,,,-2.6686590147474525,-0.30117970615185846
Tamagawa_Heart_of_Gold,3,3,3,2,2,1,3,2,1,2,0,25,120.0,Kyoto,Daiginjo,/images/tamagawa_heart_of_gold.jpg,,,-0.7879088922657514,-0.5042855263048286
Kanbara_Ancient_Treasures,1,5,3,3,3,5,5,3,1,4,0,30,130.0,Niigata,Junmai,/images/kanbara_ancient_treasures.jpg,,"Tofee, olive oil, nuts, honey",3.6320782634388147,2.597443111351696
Imayo_Tsukasa_Black_Extra_Dry,5,3,2,2,4,3,3,2,0,1,0,22,102.0,Niigata,Junmai,/images/imayo_tsukasa_black_extra_dry.jpg,Driest sake in the Minnesota market. ,,0.3218098841803013,-2.7424770509067167
